First Name,Last Name,Record Type ID,Family Name,Birthdate,Email,Home Phone,Arts Activities,Water Activities,Diabetic,Nut Allergy
Zebadiah,Lumsden,Camper,Lumsden Family,10/21/01,,9645670935,FALSE,TRUE,FALSE,FALSE
Yvonne,Mitroshinov,Camper,Mitroshinov Family,11/23/01,,3743025304,TRUE,FALSE,FALSE,FALSE
Yvon,Daily,Camper,Daily Family,8/3/02,,5809116607,TRUE,TRUE,FALSE,FALSE
Yasmeen,Parsons,Camper,Parsons Family,9/25/00,,8691036817,FALSE,TRUE,FALSE,FALSE
Xylia,Sandwick,Camper,Sandwick Family,6/9/99,,7004838719,TRUE,FALSE,TRUE,FALSE
Winonah,Bockett,Camper,Bockett Family,10/14/01,,5784432631,FALSE,FALSE,TRUE,FALSE
Wilona,Lisimore,Camper,Lisimore Family,12/10/99,,3405543286,FALSE,TRUE,FALSE,FALSE
Vikki,Lisimore,Camper,Lisimore Family,7/1/00,,3405543286,TRUE,TRUE,TRUE,FALSE
Vic,Peert,Camper,Peert Family,10/18/01,,3117646941,TRUE,FALSE,FALSE,FALSE
Vera,Airton,Camper,Airton Family,5/29/00,,9679924128,TRUE,FALSE,FALSE,FALSE
Tyne,Parsons,Camper,Parsons Family,3/28/02,,8691036817,TRUE,FALSE,FALSE,FALSE
Tucker,Boules,Camper,Boules Family,3/4/99,,6508008060,FALSE,FALSE,FALSE,FALSE
Titos,Thams,Camper,Thams Family,2/26/01,,3603425915,FALSE,FALSE,FALSE,FALSE
Tibold,Hanselmann,Camper,Hanselmann Family,8/7/99,,8711221638,TRUE,FALSE,FALSE,TRUE
Tammi,Dederich,Camper,Dederich Family,4/10/01,,2668562290,TRUE,TRUE,TRUE,FALSE
Susanne,Darcy,Camper,Darcy Family,6/2/00,,8304474430,FALSE,FALSE,FALSE,FALSE
Susana,Studman,Camper,Studman Family,12/17/99,,1523574938,FALSE,TRUE,FALSE,FALSE
Spike,Patrick,Camper,Patrick Family,4/7/01,,4069662049,FALSE,FALSE,FALSE,FALSE
Simonne,Stonehouse,Camper,Stonehouse Family,7/28/02,,5002031016,FALSE,FALSE,FALSE,FALSE
Sherry,Howie,Camper,Howie Family,10/12/12,,6177522269,TRUE,FALSE,FALSE,FALSE
Shelba,Criple,Camper,Criple Family,8/14/01,,3641188776,TRUE,FALSE,FALSE,FALSE
Shawn,Carlesso,Camper,Carlesso Family,6/18/01,,2923617541,TRUE,FALSE,FALSE,FALSE
Sharleen,Massen,Camper,Massen Family,1/24/99,,6164709430,TRUE,FALSE,FALSE,FALSE
Sharla,Ourry,Camper,Ourry Family,2/9/02,,8487487825,FALSE,FALSE,FALSE,FALSE
Shantee,Ethersey,Camper,Ethersey Family,4/23/00,,2058762938,TRUE,FALSE,FALSE,FALSE
Rori,Wiz,Camper,Wiz Family,10/19/99,,8868137257,FALSE,FALSE,FALSE,FALSE
Rickard,Howie,Camper,Howie Family,1/12/02,,6177522269,TRUE,FALSE,FALSE,FALSE
Rennie,Gamlen,Camper,Gamlen Family,3/31/00,,6267936181,TRUE,TRUE,FALSE,FALSE
Rees,Craighall,Camper,Craighall Family,10/8/02,,1582574543,FALSE,TRUE,FALSE,FALSE
Raquela,Greenrodd,Camper,Greenrodd Family,2/13/99,,2612462824,TRUE,TRUE,FALSE,FALSE
Rafael,Pitchers,Camper,Pitchers Family,9/14/00,,2093931996,TRUE,FALSE,FALSE,FALSE
Phelia,Burmaster,Camper,Burmaster Family,2/1/02,,2741702148,FALSE,TRUE,FALSE,FALSE
Peterus,Haldin,Camper,Haldin Family,9/4/00,,1089572518,TRUE,TRUE,FALSE,TRUE
Pavla,Milverton,Camper,Milverton Family,11/18/02,,4611922316,TRUE,FALSE,FALSE,FALSE
Pavel,Hinkensen,Camper,Hinkensen Family,10/1/99,,5819559684,FALSE,FALSE,TRUE,FALSE
